Date-Time,"PHF Rainwater Skid, Live Flow (gpm)"
2020-10-30 11:27:28,0
2020-10-30 11:27:58,0
2020-10-30 11:28:28,0
2020-10-30 11:28:58,0
2020-10-30 11:29:28,0
2020-10-30 11:29:58,0
2020-10-30 11:30:28,0
2020-10-30 11:30:58,0
2020-10-30 11:31:28,0
2020-10-30 11:31:58,0
2020-10-30 11:32:28,0
2020-10-30 11:32:58,0
2020-10-30 11:33:28,0
2020-10-30 11:33:58,0
2020-10-30 11:34:28,0
2020-10-30 11:34:58,0
2020-10-30 11:35:28,0
2020-10-30 11:35:58,0
2020-10-30 11:36:28,0
2020-10-30 11:36:58,0
2020-10-30 11:37:28,0
2020-10-30 11:37:58,0
2020-10-30 11:38:28,0
2020-10-30 11:38:58,0
2020-10-30 11:39:28,0
2020-10-30 11:39:58,0
2020-10-30 11:40:28,0
2020-10-30 11:40:58,0
2020-10-30 11:41:28,0
2020-10-30 11:41:58,0
2020-10-30 11:42:28,0
2020-10-30 11:42:58,0
2020-10-30 11:43:28,0
2020-10-30 11:43:58,0
2020-10-30 11:44:28,0
2020-10-30 11:44:58,0
2020-10-30 11:45:28,0
2020-10-30 11:45:58,0
2020-10-30 11:46:28,0
2020-10-30 11:46:58,0
2020-10-30 11:47:28,0
2020-10-30 11:47:58,0
2020-10-30 11:48:28,0
2020-10-30 11:48:58,0
2020-10-30 11:49:28,0
2020-10-30 11:49:58,0
2020-10-30 11:50:28,0
2020-10-30 11:50:58,0
2020-10-30 11:51:28,0
2020-10-30 11:51:58,0
2020-10-30 11:52:28,0
2020-10-30 11:52:58,0
2020-10-30 11:53:28,0
2020-10-30 11:53:58,0
2020-10-30 11:54:28,0
2020-10-30 11:54:58,0
2020-10-30 11:55:28,0
2020-10-30 11:55:58,0
2020-10-30 11:56:28,0
2020-10-30 11:56:58,0
2020-10-30 11:57:28,0
2020-10-30 11:57:58,0
2020-10-30 11:58:28,0
2020-10-30 11:58:58,0
2020-10-30 11:59:28,0
2020-10-30 11:59:58,0
2020-10-30 12:00:28,0
2020-10-30 12:00:58,0
2020-10-30 12:01:28,0
2020-10-30 12:01:58,0
2020-10-30 12:02:28,0
2020-10-30 12:02:58,0
2020-10-30 12:03:28,0
2020-10-30 12:03:58,0
2020-10-30 12:04:28,0
2020-10-30 12:04:58,0
2020-10-30 12:05:28,0
2020-10-30 12:05:58,0
2020-10-30 12:06:28,0
2020-10-30 12:06:58,0
2020-10-30 12:07:28,0
2020-10-30 12:07:58,0
2020-10-30 12:08:28,0
2020-10-30 12:08:58,0
2020-10-30 12:09:28,0
2020-10-30 12:09:58,0
2020-10-30 12:10:28,0
2020-10-30 12:10:58,0
2020-10-30 12:11:28,0
2020-10-30 12:11:58,0
2020-10-30 12:12:28,0
2020-10-30 12:12:58,0
2020-10-30 12:13:28,0
2020-10-30 12:13:58,0
2020-10-30 12:14:28,0
2020-10-30 12:14:58,0
2020-10-30 12:15:28,0
2020-10-30 12:15:58,0
2020-10-30 12:16:28,0
2020-10-30 12:16:58,0
2020-10-30 12:17:28,0
2020-10-30 12:17:58,0
2020-10-30 12:18:28,0
2020-10-30 12:18:58,0
2020-10-30 12:19:28,0
2020-10-30 12:19:58,0
2020-10-30 12:20:28,0
2020-10-30 12:20:58,0
2020-10-30 12:21:28,0
2020-10-30 12:21:58,0
2020-10-30 12:22:28,0
2020-10-30 12:24:28,0
2020-10-30 12:24:58,0
2020-10-30 12:25:28,0
2020-10-30 12:25:58,0
2020-10-30 12:26:28,0
2020-10-30 12:26:58,0
2020-10-30 12:27:28,0
2020-10-30 12:27:58,0
2020-10-30 12:28:28,0
2020-10-30 12:28:58,0
2020-10-30 12:29:28,0
2020-10-30 12:29:58,0
2020-10-30 12:30:28,0
2020-10-30 12:30:58,0
2020-10-30 12:31:28,0
2020-10-30 12:31:58,0
2020-10-30 12:32:28,0
2020-10-30 12:32:58,0
2020-10-30 12:33:28,0
2020-10-30 12:33:58,0
2020-10-30 12:34:28,0
2020-10-30 12:34:58,0
2020-10-30 12:35:28,0
2020-10-30 12:35:58,0
2020-10-30 12:36:28,0
2020-10-30 12:36:58,0
2020-10-30 12:37:28,0
2020-10-30 12:37:58,0
2020-10-30 12:38:28,0
2020-10-30 12:38:58,0
2020-10-30 12:39:28,0
2020-10-30 12:39:58,0
2020-10-30 12:40:28,0
2020-10-30 12:40:58,0
2020-10-30 12:41:28,0
2020-10-30 12:41:58,0
2020-10-30 12:42:28,0
2020-10-30 12:42:58,0
2020-10-30 12:43:28,0
2020-10-30 12:43:58,0
2020-10-30 12:44:28,0
2020-10-30 12:44:58,0
2020-10-30 12:45:28,0
2020-10-30 12:45:58,0
2020-10-30 12:46:28,0
2020-10-30 12:46:58,0
2020-10-30 12:47:28,0
2020-10-30 12:47:58,0
2020-10-30 12:48:28,0
2020-10-30 12:48:58,0
2020-10-30 12:49:28,0
2020-10-30 12:49:58,0
2020-10-30 12:50:28,0
2020-10-30 12:50:58,0
2020-10-30 12:51:28,0
2020-10-30 12:51:58,0
2020-10-30 12:52:28,0
2020-10-30 12:52:58,0
2020-10-30 12:53:28,0
2020-10-30 12:53:58,0
2020-10-30 12:54:28,0
2020-10-30 12:54:58,0
2020-10-30 12:55:28,0
2020-10-30 12:55:58,0
2020-10-30 12:56:28,0
2020-10-30 12:56:58,0
2020-10-30 12:57:28,0
2020-10-30 12:57:58,0
2020-10-30 12:58:28,0
2020-10-30 12:58:58,0
2020-10-30 12:59:28,0
2020-10-30 12:59:58,0
2020-10-30 13:00:28,0
2020-10-30 13:00:58,0
2020-10-30 13:01:28,0
2020-10-30 13:01:58,0
2020-10-30 13:02:28,0
2020-10-30 13:02:58,0
2020-10-30 13:03:28,0
2020-10-30 13:03:58,0
2020-10-30 13:04:28,0
2020-10-30 13:04:58,0
2020-10-30 13:05:28,0
2020-10-30 13:05:58,0
2020-10-30 13:06:28,0
2020-10-30 13:06:58,0
2020-10-30 13:07:28,0
2020-10-30 13:07:58,0
2020-10-30 13:08:28,0
2020-10-30 13:08:58,0
2020-10-30 13:09:28,0
2020-10-30 13:09:58,0
2020-10-30 13:10:28,0
2020-10-30 13:10:58,0
2020-10-30 13:11:28,0
2020-10-30 13:11:58,0
2020-10-30 13:12:28,0
2020-10-30 13:12:58,0
2020-10-30 13:13:28,0
2020-10-30 13:13:58,0
2020-10-30 13:14:28,0
