Date-Time,"PHF Rainwater Skid, Storage Tank Level (%)"
2020-10-30 04:14:58,96
2020-10-30 04:29:58,97
2020-10-30 04:44:58,96
2020-10-30 04:59:58,96
2020-10-30 05:14:58,96
2020-10-30 05:29:58,97
2020-10-30 05:44:58,96
2020-10-30 05:59:58,96
2020-10-30 06:14:58,96
2020-10-30 06:29:58,96
2020-10-30 06:44:58,96
2020-10-30 06:59:58,96
2020-10-30 07:14:58,96
2020-10-30 07:29:58,96
2020-10-30 07:44:58,96
2020-10-30 07:59:58,96
2020-10-30 08:14:58,96
2020-10-30 08:29:58,96
2020-10-30 08:44:58,96
2020-10-30 08:59:58,96
2020-10-30 09:14:58,96
2020-10-30 09:29:58,96
2020-10-30 09:44:58,96
2020-10-30 09:59:58,96
2020-10-30 10:14:58,96
2020-10-30 10:29:58,96
2020-10-30 10:44:58,96
2020-10-30 10:59:58,96
2020-10-30 11:14:58,96
2020-10-30 11:29:58,96
2020-10-30 11:44:58,96
2020-10-30 11:59:58,96
2020-10-30 12:14:58,96
2020-10-30 12:29:58,96
2020-10-30 12:44:58,96
2020-10-30 12:59:58,96
2020-10-30 13:14:58,96
2020-10-30 13:29:58,96
2020-10-30 13:44:58,96
2020-10-30 13:59:58,96
2020-10-30 14:14:58,96
2020-10-30 14:29:58,96
2020-10-30 14:44:58,96
2020-10-30 14:59:58,96
2020-10-30 15:14:58,96
2020-10-30 15:29:58,96
2020-10-30 15:44:58,96
2020-10-30 15:59:58,96
2020-10-30 16:14:58,96
2020-10-30 16:29:58,96
2020-10-30 16:44:58,96
2020-10-30 16:59:58,96
2020-10-30 17:14:58,96
2020-10-30 17:29:58,96
2020-10-30 17:44:58,96
2020-10-30 17:59:58,96
2020-10-30 18:14:58,96
2020-10-30 18:29:58,96
2020-10-30 18:44:58,96
2020-10-30 18:59:58,96
2020-11-01 07:14:58,96
2020-11-01 07:29:58,96
2020-11-01 07:44:58,96
2020-11-01 07:59:58,96
2020-11-01 08:14:58,96
2020-11-01 08:29:58,96
2020-11-01 08:44:58,96
2020-11-01 08:59:58,96
2020-11-01 09:14:58,96
2020-11-01 09:29:58,96
2020-11-01 09:44:58,96
2020-11-01 09:59:58,96
2020-11-01 10:14:58,96
2020-11-01 10:29:58,96
2020-11-01 10:44:58,96
2020-11-01 10:59:58,96
2020-11-01 11:14:58,96
2020-11-01 11:29:58,96
2020-11-01 11:44:58,96
2020-11-01 11:59:58,96
2020-11-01 12:14:58,96
2020-11-01 12:29:58,96
2020-11-01 12:44:58,96
2020-11-01 12:59:58,96
2020-11-01 13:14:58,96
2020-11-01 13:29:58,96
2020-11-01 13:44:58,96
2020-11-01 13:59:58,96
2020-11-01 14:14:58,96
2020-11-01 14:29:58,96
2020-11-01 14:44:58,96
2020-11-01 14:59:58,96
2020-11-01 15:14:58,96
2020-11-01 15:29:58,96
2020-11-01 15:44:58,96
2020-11-01 15:59:58,96
2020-11-01 16:14:58,96
2020-11-01 16:29:58,96
2020-11-01 16:44:58,96
2020-11-01 16:59:58,96
2020-11-01 17:14:58,96
2020-11-01 17:29:58,96
2020-11-01 17:44:58,96
2020-11-01 17:59:58,96
2020-11-01 18:14:58,96
2020-11-01 18:29:58,96
2020-11-01 18:44:58,96
2020-11-01 18:59:58,96
2020-11-01 19:14:58,96
2020-11-01 19:29:58,96
2020-11-01 19:44:58,96
2020-11-01 19:59:58,96
2020-11-01 20:14:58,96
2020-11-01 20:29:58,96
2020-11-01 20:44:58,96
2020-11-01 20:59:58,96
2020-11-01 21:14:58,96
2020-11-01 21:29:58,96
2020-11-01 21:44:58,96
2020-11-01 21:59:58,96
2020-11-01 22:14:58,96
2020-11-01 22:29:58,96
2020-11-01 22:44:58,96
2020-11-01 22:59:58,96
2020-11-01 23:14:58,96
2020-11-01 23:29:58,96
2020-11-01 23:44:58,96
2020-11-01 23:59:58,96
2020-11-02 00:14:58,96
2020-11-02 00:29:58,96
2020-11-02 00:44:58,96
2020-11-02 00:59:58,96
2020-11-02 01:14:58,96
2020-11-02 01:29:58,96
2020-11-02 01:44:58,96
2020-11-02 01:59:58,96
2020-11-02 02:14:58,96
2020-11-02 02:29:58,96
2020-11-02 02:44:58,96
2020-11-02 02:59:58,96
2020-11-02 03:14:58,96
2020-11-02 03:29:58,96
2020-11-02 03:44:58,96
2020-11-02 03:59:58,96
2020-11-02 04:14:58,96
2020-11-02 04:29:58,96
2020-11-02 04:44:58,96
2020-11-02 04:59:58,96
2020-11-02 05:14:58,96
2020-11-02 05:29:58,96
2020-11-02 05:44:58,96
2020-11-02 05:59:58,96
2020-11-02 06:14:58,96
2020-11-02 06:29:58,96
2020-11-02 06:44:58,96
2020-11-02 06:59:58,96
2020-11-02 07:14:58,95
2020-11-02 07:29:58,95
2020-11-02 07:44:58,95
2020-11-02 07:59:58,95
2020-11-02 08:14:58,95
2020-11-02 08:29:58,95
2020-11-02 08:44:58,95
2020-11-02 08:59:58,95
2020-11-02 09:14:58,95
2020-11-02 09:29:58,95
2020-11-02 09:44:58,95
2020-11-02 09:59:58,95
2020-11-02 10:14:58,95
2020-11-02 10:29:58,95
2020-11-02 10:44:58,95
2020-11-02 10:59:58,95
2020-11-02 11:14:58,95
2020-11-02 11:29:58,95
