Date-Time,"PHF Rainwater Skid, Domestic Water GPM (gpm)"
2020-10-30 11:29:58,0
2020-10-30 11:34:58,0
2020-10-30 11:39:58,0
2020-10-30 11:44:58,0
2020-10-30 11:49:58,0
2020-10-30 11:54:58,0
2020-10-30 11:59:58,0
2020-10-30 12:04:58,0
2020-10-30 12:09:58,0
2020-10-30 12:14:58,0
2020-10-30 12:19:58,0
2020-10-30 12:24:58,0
2020-10-30 12:29:58,0
2020-10-30 12:34:58,0
2020-10-30 12:39:58,0
2020-10-30 12:44:58,0
2020-10-30 12:49:58,0
2020-10-30 12:54:58,0
2020-10-30 12:59:58,0
2020-10-30 13:04:58,0
2020-10-30 13:09:58,0
2020-10-30 13:14:58,0
2020-10-30 13:19:58,0
2020-10-30 13:24:58,0
2020-10-30 13:29:58,0
2020-10-30 13:34:58,0
2020-10-30 13:39:58,0
2020-10-30 13:44:58,0
2020-10-30 13:49:58,0
2020-10-30 13:54:58,0
2020-10-30 13:59:58,0
2020-10-30 14:04:58,0
2020-10-30 14:09:58,0
2020-10-30 14:14:58,0
2020-10-30 14:19:58,0
2020-10-30 14:24:58,0
2020-10-30 14:29:58,0
2020-10-30 14:34:58,0
2020-10-30 14:39:58,0
2020-10-30 14:44:58,0
2020-10-30 14:49:58,0
2020-10-30 14:54:58,0
2020-10-30 14:59:58,0
2020-10-30 15:04:58,0
2020-10-30 15:09:58,0
2020-10-30 15:14:58,0
2020-10-30 15:19:58,0
2020-10-30 15:24:58,0
2020-10-30 15:29:58,0
2020-10-30 15:34:58,0
2020-10-30 15:39:58,0
2020-10-30 15:44:58,0
2020-10-30 15:49:58,0
2020-10-30 15:54:58,0
2020-10-30 15:59:58,0
2020-10-30 16:04:58,0
2020-10-30 16:09:58,0
2020-10-30 16:14:58,0
2020-10-30 16:19:58,0
2020-10-30 16:24:58,0
2020-10-30 16:29:58,0
2020-10-30 16:34:58,0
2020-10-30 16:39:58,0
2020-10-30 16:44:58,0
2020-10-30 16:49:58,0
2020-10-30 16:54:58,0
2020-10-30 16:59:58,0
2020-10-30 17:04:58,0
2020-10-30 17:09:58,0
2020-10-30 17:14:58,0
2020-10-30 17:19:58,0
2020-10-30 17:24:58,0
2020-10-30 17:29:58,0
2020-10-30 17:34:58,0
2020-10-30 17:39:58,0
2020-10-30 17:44:58,0
2020-10-30 17:49:58,0
2020-10-30 17:54:58,0
2020-10-30 17:59:58,0
2020-10-30 18:04:58,0
2020-10-30 18:09:58,0
2020-10-30 18:14:58,0
2020-10-30 18:19:58,0
2020-10-30 18:24:58,0
2020-10-30 18:29:58,0
2020-10-30 18:34:58,0
2020-10-30 18:39:58,0
2020-10-30 18:44:58,0
2020-10-30 18:49:58,0
2020-10-30 18:54:58,0
2020-10-30 18:59:58,0
2020-10-30 19:04:58,0
2020-10-30 19:09:58,0
2020-11-02 19:14:58,0
2020-11-02 19:19:58,0
2020-11-02 19:24:58,0
2020-11-02 19:29:58,0
2020-11-02 19:34:58,0
2020-11-02 19:39:58,0
2020-11-02 19:44:58,0
2020-11-02 19:49:58,0
2020-11-02 19:54:58,0
2020-11-02 19:59:58,0
2020-11-02 20:04:58,0
2020-11-02 20:09:58,0
2020-11-02 20:14:58,0
2020-11-02 20:19:58,0
2020-11-02 20:24:58,0
2020-11-02 20:29:58,0
2020-11-02 20:34:58,0
2020-11-02 20:39:58,0
2020-11-02 20:44:58,0
2020-11-02 20:49:58,0
2020-11-02 20:54:58,0
2020-11-02 20:59:58,0
2020-11-02 21:04:58,0
2020-11-02 21:09:58,0
2020-11-02 21:14:58,0
2020-11-02 21:19:58,0
2020-11-02 21:24:58,0
2020-11-02 21:29:58,0
2020-11-02 21:34:58,0
2020-11-02 21:39:58,0
2020-11-02 21:44:58,0
2020-11-02 21:49:58,0
2020-11-02 21:54:58,0
2020-11-02 21:59:58,0
2020-11-02 22:04:58,0
2020-11-02 22:09:58,0
2020-11-02 22:14:58,0
2020-11-02 22:19:58,0
2020-11-02 22:24:58,0
2020-11-02 22:29:58,0
2020-11-02 22:34:58,0
2020-11-02 22:39:58,0
2020-11-02 22:44:58,0
2020-11-02 22:49:58,0
2020-11-02 22:54:58,0
2020-11-02 22:59:58,0
2020-11-02 23:04:58,0
2020-11-02 23:09:58,0
2020-11-02 23:14:58,0
2020-11-02 23:19:58,0
2020-11-02 23:24:58,0
2020-11-02 23:29:58,0
2020-11-02 23:34:58,0
2020-11-02 23:39:58,0
2020-11-02 23:44:58,0
2020-11-02 23:49:58,0
2020-11-02 23:54:58,0
2020-11-02 23:59:58,0
2020-11-03 00:04:58,0
2020-11-03 00:09:58,0
2020-11-03 00:14:58,0
2020-11-03 00:19:58,0
2020-11-03 00:24:58,0
2020-11-03 00:29:58,0
2020-11-03 00:34:58,0
2020-11-03 00:39:58,0
2020-11-03 00:44:58,0
2020-11-03 00:49:58,0
2020-11-03 00:54:58,0
2020-11-03 00:59:58,0
2020-11-03 01:04:58,0
2020-11-03 01:09:58,0
2020-11-03 01:14:58,0
2020-11-03 01:19:58,0
2020-11-03 01:24:58,0
2020-11-03 01:29:58,0
2020-11-03 01:34:58,0
2020-11-03 01:39:58,0
2020-11-03 01:44:58,0
2020-11-03 01:49:58,0
2020-11-03 01:54:58,0
2020-11-03 01:59:58,0
2020-11-03 02:04:58,0
2020-11-03 02:09:58,0
2020-11-03 02:14:58,0
2020-11-03 02:19:58,0
2020-11-03 02:24:58,0
2020-11-03 02:29:58,0
2020-11-03 02:34:58,0
2020-11-03 02:39:58,0
2020-11-03 02:44:58,0
2020-11-03 02:49:58,0
2020-11-03 02:54:58,0
2020-11-03 02:59:58,0
2020-11-03 03:04:58,0
2020-11-03 03:09:58,0
2020-11-03 03:14:58,0
2020-11-03 03:19:58,0
2020-11-03 03:24:58,0
2020-11-03 03:29:58,0
2020-11-03 03:34:58,0
2020-11-03 03:39:58,0
2020-11-03 03:44:58,0
2020-11-03 03:49:58,0
2020-11-03 03:54:58,0
2020-11-03 03:59:58,0
2020-11-03 04:04:58,0
2020-11-03 04:09:58,0
2020-11-03 04:14:58,0
2020-11-03 04:19:58,0
2020-11-03 04:24:58,0
2020-11-03 04:29:58,0
2020-11-03 04:34:58,0
2020-11-03 04:39:58,0
2020-11-03 04:44:58,0
2020-11-03 04:49:58,0
2020-11-03 04:54:58,0
2020-11-03 04:59:58,0
2020-11-03 05:04:58,0
2020-11-03 05:09:58,0
2020-11-03 05:14:58,0
2020-11-03 05:19:58,0
2020-11-03 05:24:58,0
2020-11-03 05:29:58,0
2020-11-03 05:34:58,0
2020-11-03 05:39:58,0
2020-11-03 05:44:58,0
2020-11-03 05:49:58,0
2020-11-03 05:54:58,0
2020-11-03 05:59:58,0
2020-11-03 06:04:58,0
2020-11-03 06:09:58,0
2020-11-03 06:14:58,0
2020-11-03 06:19:58,0
2020-11-03 06:24:58,0
2020-11-03 06:29:58,0
2020-11-03 06:34:58,0
2020-11-03 06:39:58,0
2020-11-03 06:44:58,0
2020-11-03 06:49:58,0
2020-11-03 06:54:58,0
2020-11-03 06:59:58,0
2020-11-03 07:04:58,0
2020-11-03 07:09:58,0
2020-11-03 07:14:58,0
2020-11-03 07:19:58,0
2020-11-03 07:24:58,0
2020-11-03 07:29:58,0
2020-11-03 07:34:58,0
2020-11-03 07:39:58,0
2020-11-03 07:44:58,0
2020-11-03 07:49:58,0
2020-11-03 07:54:58,0
2020-11-03 07:59:58,0
2020-11-03 08:04:58,0
2020-11-03 08:09:58,0
2020-11-03 08:14:58,0
2020-11-03 08:19:58,0
2020-11-03 08:24:58,0
2020-11-03 08:29:58,0
2020-11-03 08:34:58,0
2020-11-03 08:39:58,0
2020-11-03 08:44:58,0
2020-11-03 08:49:58,0
2020-11-03 08:54:58,0
2020-11-03 08:59:58,0
2020-11-03 09:04:58,0
2020-11-03 09:09:58,0
2020-11-03 09:14:58,0
